Crop,Count,Mean Yield,Std Dev,CV (%),Min,Max
Cassava,1728,818.7453051165153,909.180428710453,111.04557461628045,0.0,2686.8362403100778
Yams,1728,870.6777246362005,931.8855141523912,107.0299018551055,0.0,3735.727468159325
