CropRegion,Samples,R2,MAE,RMSE,MAPE,sMAPE,MASE,Yield_Mean,Yield_Std,Yield_CV,Resilience_Index,Mean_Uncertainty
Cassava | North-Central,25,0.4303740859031677,4111.939453125,6398.795511656862,42.868560791015625,32.75550079345703,0.8508892744377817,11829.013671875,8478.1943359375,0.7167287468910217,1.3952279090881348,1403.7120361328125
Cassava | North-East,25,-3.0873336791992188,1540.38720703125,1934.082663693566,29.816326141357422,24.053598403930664,0.3913176149508588,5889.06005859375,956.6541748046875,0.16244599223136902,6.155892372131348,629.3943481445312
Cassava | North-West,25,-0.9919737577438354,1880.20947265625,2355.2263160893904,29.20197868347168,26.756736755371094,0.5490442301626999,6531.57568359375,1668.748291015625,0.25548937916755676,3.9140567779541016,835.5628051757812
Cassava | South-East,25,0.870529294013977,760.4737548828125,983.2895046729625,6.947932243347168,6.664129257202148,0.22531545170861839,12449.7548828125,2732.72314453125,0.21950015425682068,4.555805206298828,849.8362426757812
Cassava | South-South,25,0.513293981552124,1857.4130859375,2025.8601876733744,21.88105010986328,21.247243881225586,0.7088091474824718,9321.60546875,2903.863037109375,0.3115196228027344,3.2100706100463867,1044.0174560546875
Cassava | South-West,25,0.46792781352996826,1449.5380859375,1674.803570571785,10.621268272399902,11.326302528381348,0.45233520314754727,12931.8203125,2296.035400390625,0.17754928767681122,5.632238864898682,1144.719482421875
Maize | North-Central,25,-0.349989652633667,402.4243469238281,463.595324609729,20.551311492919922,20.14777183532715,1.190912423423294,1945.0799560546875,399.0008544921875,0.20513339340686798,4.874876499176025,85.26851654052734
Maize | North-East,25,0.09994375705718994,273.46514892578125,388.71334232310573,14.94322681427002,15.743470191955566,0.7903528489295374,1676.4814453125,409.7270202636719,0.24439698457717896,4.091703414916992,58.684635162353516
Maize | North-West,25,0.4334728717803955,242.0632781982422,306.7952034745654,13.765254974365234,14.366250991821289,0.6335076027178772,1648.328125,407.6037902832031,0.24728316068649292,4.043947219848633,79.84611511230469
Maize | South-East,25,-0.4291445016860962,156.97323608398438,204.13974418581503,9.080323219299316,8.874207496643066,0.9396483565786906,1848.55126953125,170.76132202148438,0.0923757553100586,10.825350761413574,75.31660461425781
Maize | South-South,25,-0.18855571746826172,157.4308624267578,188.90867709358932,10.4789400100708,10.100384712219238,0.843713333749845,1592.529052734375,173.27748107910156,0.10880648344755173,9.190629005432129,91.02635955810547
Maize | South-West,25,-0.33271193504333496,180.10952758789062,220.9945824420816,9.546218872070312,9.839444160461426,1.0298478696826041,1849.4332275390625,191.43153381347656,0.10350821912288666,9.6610689163208,77.5894546508789
Rice | North-Central,25,0.5063923597335815,144.6050262451172,248.70765971316604,5.583689212799072,5.915996551513672,0.4597880969234852,2290.375244140625,353.9958801269531,0.15455803275108337,6.470061779022217,107.5926284790039
Rice | North-East,25,0.06706500053405762,209.15354919433594,316.8062302102028,13.769383430480957,12.349595069885254,0.5339935977273763,1683.270263671875,327.99560546875,0.1948561817407608,5.131990432739258,72.01078033447266
Rice | North-West,25,0.41548341512680054,199.53695678710938,314.54705778706625,9.710309982299805,10.377846717834473,0.5101357701115383,1802.2333984375,411.42169189453125,0.22828435897827148,4.380501747131348,98.19931030273438
Rice | South-East,25,-0.08488380908966064,238.9461669921875,337.5547177866131,10.41507339477539,10.78290843963623,0.9629363984810035,2140.658203125,324.08026123046875,0.15139281749725342,6.60533332824707,91.17777252197266
Rice | South-South,25,-0.1981443166732788,339.54412841796875,549.2597859847378,15.243000030517578,16.438392639160156,1.1286554916114049,2006.655517578125,501.7914123535156,0.25006356835365295,3.998983383178711,113.93840026855469
Rice | South-West,25,-0.07673108577728271,330.7017822265625,427.6422278026341,17.371614456176758,16.541656494140625,1.0451405187743028,1932.03759765625,412.12310791015625,0.2133100926876068,4.6880106925964355,95.29021453857422
Yam | North-Central,25,0.49074608087539673,1331.3349609375,1752.4392999473619,9.452048301696777,10.055588722229004,0.44130731538672946,13375.025390625,2455.70263671875,0.18360358476638794,5.446516513824463,861.454345703125
Yam | North-East,25,-1.5039970874786377,1625.95556640625,2152.106177678044,14.845182418823242,16.7919921875,1.6528185076370012,10126.0947265625,1360.024658203125,0.13430890440940857,7.445522785186768,509.8338623046875
Yam | North-West,25,0.06387507915496826,1339.2481689453125,1700.2303520405699,20.379112243652344,17.91560935974121,0.7213113902628967,8553.7333984375,1757.2796630859375,0.20544007420539856,4.8675994873046875,695.090087890625
Yam | South-East,25,0.15241557359695435,2343.3955078125,5761.674062284329,15.691108703613281,16.262624740600586,0.642351888221359,12189.330078125,6258.31201171875,0.5134254097938538,1.9477025270462036,641.7088012695312
Yam | South-South,25,-0.021537423133850098,1775.45361328125,2521.88094485049,23.524381637573242,20.847349166870117,0.5943958113909725,8029.0107421875,2495.154541015625,0.31076738238334656,3.217841148376465,824.1229858398438
Yam | South-West,25,0.13526511192321777,2095.42822265625,2801.1425347525606,24.986391067504883,21.229591369628906,0.8466021735002627,9876.1728515625,3012.268798828125,0.30500364303588867,3.27864933013916,726.7716674804688
