Region,Ens_R2,Ens_MAE,Ens_MAPE,Ens_sMAPE,Ens_MASE
North-Central,0.7644799947738647,1478.5548095703125,19.36595,17.00785,0.269745
North-East,0.8358240127563477,901.8309936523438,18.153357,17.111986,0.28278518
North-West,0.8009542226791382,903.2479858398438,18.15119,17.325535,0.3036717
South-East,0.781917929649353,858.3301391601562,10.37594,10.473832,0.16626349
South-South,0.8371167182922363,1019.2263793945312,17.60687,17.049595,0.29638627
South-West,0.901970386505127,1018.4481201171875,15.530748,14.666456,0.21400225
