Crop,Ens_R2,Ens_MAE,Ens_MAPE,Ens_sMAPE,Ens_MASE
Cassava,0.6384369134902954,1679.1407470703125,19.39918,17.533966,0.4718957
Maize,0.2282189130783081,222.5363006591797,12.538539,12.475904,0.83965266
Rice,0.3421075940132141,230.14088439941406,11.323528,11.384125,0.71289355
Yam,0.34540367126464844,1614.531494140625,16.134953,15.496856,0.6496564
