Crop,Samples,R2,MAE,RMSE,MAPE,sMAPE,MASE,Yield_Mean,Yield_Std,Yield_CV,Resilience_Index,Mean_Uncertainty
Cassava,150,0.5942202806472778,1922.3314208984375,3119.61904725561,22.062549591064453,19.894372940063477,0.5391318354614125,9825.4716796875,4897.29638671875,0.4984286427497864,2.00630521774292,3417.783935546875
Yam,150,0.2935910224914551,1785.100830078125,3197.806748382397,17.66214370727539,17.16661834716797,0.7155920626710558,10358.2275390625,3804.732421875,0.36731499433517456,2.722458839416504,3417.783935546875
Rice,150,0.2870420813560486,242.21754455566406,373.4253606813549,11.886598587036133,12.0316743850708,0.7404518192275291,1975.8717041015625,442.25408935546875,0.2238273322582245,4.467729568481445,3417.783935546875
Maize,150,0.21170806884765625,222.47203063964844,300.3524622214707,12.450489044189453,12.446571350097656,0.8371194518022904,1760.067138671875,338.2888488769531,0.19220224022865295,5.202852725982666,3417.783935546875
