,Pre-Monsoon (Jan-Apr),Monsoon (May-Sep),Post-Monsoon (Oct-Dec)
Cassava,53.98053741455078,21.00154685974121,16.64633560180664
Maize,53.91704177856445,20.538209915161133,18.124860763549805
Rice,57.05923080444336,20.082841873168945,15.00854778289795
Yam,58.71156311035156,17.952075958251953,16.30695915222168
