,Pre-Monsoon (Jan-Apr),Monsoon (May-Sep),Post-Monsoon (Oct-Dec)
Cassava,0.22730714198462182,0.08465226836501344,0.24469721949452047
Maize,0.18837815965715574,0.2062163681486983,0.11815824069257604
Rice,0.17920296312560952,0.12437566517271134,0.1885528720278204
Yam,-0.02776966112662328,-0.090861852762353,-0.0552794136765595
