group,n_features,mae_mean,mae_std,mae_delta,mae_delta_pct
baseline,0,4989.1591796875,0.0,0.0,0.0
rain_PRECTOTCORR_m1_m12,12,5343.704650878906,24.210650212370446,354.54547119140625,7.106317085148875
temp_T2M_T2M_MAX_m1_m12,24,5186.322692871094,37.25149051228208,197.16351318359375,3.95183849788379
