Metric,Value
Overall R2,0.8245558261871337
Overall MAE,1043.0304321289063
Overall RMSE,2126.6004691946378
Overall MAPE,16.015444183349608
Overall sMAPE,15.384809494018555
Overall MASE,0.6257293443884903
Mean Uncertainty,3417.78369140625
Mean CI Width,6035.7724609375
PICP,0.9416666666666667
Baseline MAE,1663.2659912109375
Primary MAE,1043.030517578125
OOF Model MAE,1043.030517578125
MAE Gain vs Baseline,620.2354736328125
