Region,Samples,R2,MAE,RMSE,MAPE,sMAPE,MASE,Yield_Mean,Yield_Std,Yield_CV,Resilience_Index,Mean_Uncertainty
South-West,100,0.9008159041404724,1013.9444580078125,1649.4758258307395,15.63137149810791,14.73425006866455,0.6572342560571703,6647.36572265625,5237.51025390625,0.7879076600074768,1.2691842317581177,511.0927734375
North-East,100,0.8343391418457031,912.2402954101562,1468.3070183037335,18.343530654907227,17.234663009643555,0.6449388198657525,4843.72607421875,3607.504638671875,0.7447788119316101,1.3426804542541504,317.4809265136719
South-South,100,0.828920841217041,1032.46044921875,1643.271432235101,17.781841278076172,17.158344268798828,0.677590851391186,5237.4501953125,3972.928955078125,0.7585616707801819,1.3182843923568726,518.2762451171875
North-West,100,0.7950208783149719,915.2644653320312,1468.922734523501,18.264163970947266,17.354110717773438,0.6046893254261341,4633.96826171875,3244.472900390625,0.7001500129699707,1.4282653331756592,427.174560546875
South-East,100,0.776347279548645,874.9470825195312,2929.1363914983544,10.533609390258789,10.645967483520508,0.47049654632153887,7157.07373046875,6193.7333984375,0.8654002547264099,1.1555346250534058,414.5098876953125
North-Central,100,0.7661063075065613,1497.575927734375,3327.6270824718326,19.613901138305664,17.218713760375977,0.7045978440060944,7359.87353515625,6880.5859375,0.9348782896995544,1.0696579217910767,614.5068969726562
