Season,Temperature,Precipitation,Humidity
Pre-monsoon (Jan-Apr),0.00081348233,0.0009315895,0.00075971236
Monsoon (May-Sep),0.0007661708,0.00069699914,0.0006184232
Post-monsoon (Oct-Dec),0.0005782695,0.0004374422,0.00042185397
