Feature,Permutation_Importance
T2M,0.16199626682884435
TS,0.1544552938854735
T2M_MAX,0.14532938764338374
RH2M,0.13731717640441948
T2MDEW,0.13524693709455685
QV2M,0.1289447981423938
T2MWET,0.12286599522793426
T2M_MIN,0.04797578604661349
PRECTOTCORR,0.026291500143178593
