Region,Baseline_Yield_kg_per_ha,Baseline_Stability_CV,Extreme_Scenario_Change_%,Drought_Scenario_Change_%,Warming_Scenario_Change_%,Food_Security_Risk_Score
North-West,4633.967930029292,0.7001499882817452,-59.044383866171835,-44.89758536934654,0.797805656193318,1.0
North-East,4843.7263070804975,0.7447788462667638,-59.78187484797641,-44.26196022354536,-4.622124190511716,0.9175690308463397
North-Central,7359.873758984188,0.9348782376465689,-71.46541247970424,-66.55948169442082,-25.69933618877037,0.8404069405809671
South-South,5237.450267789741,0.7585616596841428,-47.07446668514303,-49.4107666511905,16.77615918059697,0.8272207701239683
South-West,6647.365562121218,0.7879076826766417,-62.536861493390624,-63.413299071874484,-7.394029042828432,0.8093508148532437
South-East,7157.0736830928045,0.8654003046496209,-60.01898158425707,-65.19524169284252,-16.01960744909642,0.7711052047460433
