Crop,Baseline_Yield_kg_per_ha,Warming_Sensitivity_%_per_C,Drought_Sensitivity_%_per_40%,Flood_Sensitivity_%_per_40%,Overall_Sensitivity
Maize,1760.0671770511024,95.42039164207064,-0.1646251810523576,21.064544129248482,38.883186984123824
Rice,1975.8716738692058,84.29570236164795,-0.2333754391211642,19.340830204255287,34.623302668341466
Cassava,9825.47172809444,-22.51233032233844,-1.6606506636982044,10.29409687271625,11.489025952917629
Yam,10358.227760383745,-20.071117585410438,-1.665645840210633,9.85195991266367,10.529574446094914
