Year,Region,Crop,Yield_kg_per_ha,GWETROOT_m1,GWETROOT_m2,GWETROOT_m3,GWETROOT_m4,GWETROOT_m5,GWETROOT_m6,GWETROOT_m7,GWETROOT_m8,GWETROOT_m9,GWETROOT_m10,GWETROOT_m11,GWETROOT_m12,PRECTOTCORR_m1,PRECTOTCORR_m2,PRECTOTCORR_m3,PRECTOTCORR_m4,PRECTOTCORR_m5,PRECTOTCORR_m6,PRECTOTCORR_m7,PRECTOTCORR_m8,PRECTOTCORR_m9,PRECTOTCORR_m10,PRECTOTCORR_m11,PRECTOTCORR_m12,T2M_MAX_m1,T2M_MAX_m2,T2M_MAX_m3,T2M_MAX_m4,T2M_MAX_m5,T2M_MAX_m6,T2M_MAX_m7,T2M_MAX_m8,T2M_MAX_m9,T2M_MAX_m10,T2M_MAX_m11,T2M_MAX_m12,T2M_MIN_m1,T2M_MIN_m2,T2M_MIN_m3,T2M_MIN_m4,T2M_MIN_m5,T2M_MIN_m6,T2M_MIN_m7,T2M_MIN_m8,T2M_MIN_m9,T2M_MIN_m10,T2M_MIN_m11,T2M_MIN_m12
1999,North-Central,Cassava,11208.136728674179,0.5688940092165898,0.5372959183673469,0.5137788018433179,0.498952380952381,0.5009677419354839,0.5275714285714286,0.5286635944700461,0.5421198156682028,0.539952380952381,0.5469124423963134,0.4895238095238095,0.4634101382488479,8.64,80.87,121.25,237.93,508.84,643.83,603.82,748.02,553.35,774.74,36.2,0.64,31.64824884792627,33.13729591836734,34.69,33.97233333333334,32.6473732718894,30.89338095238095,29.37930875576037,28.963548387096775,30.18557142857143,30.892995391705067,34.21514285714286,34.500138248847925,17.781059907834102,20.735867346938775,22.946543778801843,23.40785714285714,23.167235023041474,22.396809523809523,21.633271889400923,21.33783410138249,21.613999999999997,21.48414746543779,20.632571428571428,17.88465437788018
1999,North-Central,Maize,1692.7758423471917,0.5688940092165898,0.5372959183673469,0.5137788018433179,0.498952380952381,0.5009677419354839,0.5275714285714286,0.5286635944700461,0.5421198156682028,0.539952380952381,0.5469124423963134,0.4895238095238095,0.4634101382488479,8.64,80.87,121.25,237.93,508.84,643.83,603.82,748.02,553.35,774.74,36.2,0.64,31.64824884792627,33.13729591836734,34.69,33.97233333333334,32.6473732718894,30.89338095238095,29.37930875576037,28.963548387096775,30.18557142857143,30.892995391705067,34.21514285714286,34.500138248847925,17.781059907834102,20.735867346938775,22.946543778801843,23.40785714285714,23.167235023041474,22.396809523809523,21.633271889400923,21.33783410138249,21.613999999999997,21.48414746543779,20.632571428571428,17.88465437788018
1999,North-Central,Rice,2058.216031386133,0.5688940092165898,0.5372959183673469,0.5137788018433179,0.498952380952381,0.5009677419354839,0.5275714285714286,0.5286635944700461,0.5421198156682028,0.539952380952381,0.5469124423963134,0.4895238095238095,0.4634101382488479,8.64,80.87,121.25,237.93,508.84,643.83,603.82,748.02,553.35,774.74,36.2,0.64,31.64824884792627,33.13729591836734,34.69,33.97233333333334,32.6473732718894,30.89338095238095,29.37930875576037,28.963548387096775,30.18557142857143,30.892995391705067,34.21514285714286,34.500138248847925,17.781059907834102,20.735867346938775,22.946543778801843,23.40785714285714,23.167235023041474,22.396809523809523,21.633271889400923,21.33783410138249,21.613999999999997,21.48414746543779,20.632571428571428,17.88465437788018
1999,North-Central,Yam,12597.282695684202,0.5688940092165898,0.5372959183673469,0.5137788018433179,0.498952380952381,0.5009677419354839,0.5275714285714286,0.5286635944700461,0.5421198156682028,0.539952380952381,0.5469124423963134,0.4895238095238095,0.4634101382488479,8.64,80.87,121.25,237.93,508.84,643.83,603.82,748.02,553.35,774.74,36.2,0.64,31.64824884792627,33.13729591836734,34.69,33.97233333333334,32.6473732718894,30.89338095238095,29.37930875576037,28.963548387096775,30.18557142857143,30.892995391705067,34.21514285714286,34.500138248847925,17.781059907834102,20.735867346938775,22.946543778801843,23.40785714285714,23.167235023041474,22.396809523809523,21.633271889400923,21.33783410138249,21.613999999999997,21.48414746543779,20.632571428571428,17.88465437788018
1999,North-East,Cassava,6888.902978430184,0.3104301075268817,0.3001190476190476,0.29370967741935483,0.2957222222222222,0.3078494623655914,0.3191111111111111,0.35758064516129034,0.4305913978494624,0.43977777777777777,0.40634408602150535,0.33511111111111114,0.30833333333333335,0.0,0.42000000000000004,7.5200000000000005,69.92999999999999,263.25,217.92,826.1,1037.2,687.42,416.57,1.4,0.0,33.51521505376344,36.87339285714285,39.821774193548386,39.35111111111111,37.45177419354839,35.63388888888889,32.067150537634404,29.786397849462368,30.932444444444446,32.954247311827956,35.23122222222222,33.314838709677424,15.98543010752688,20.437678571428574,22.482258064516127,24.663722222222223,25.382526881720427,24.319222222222223,22.68913978494624,21.74236559139785,21.99738888888889,21.588655913978496,19.19622222222222,15.427043010752687
1999,North-East,Maize,1306.5921079579932,0.3104301075268817,0.3001190476190476,0.29370967741935483,0.2957222222222222,0.3078494623655914,0.3191111111111111,0.35758064516129034,0.4305913978494624,0.43977777777777777,0.40634408602150535,0.33511111111111114,0.30833333333333335,0.0,0.42000000000000004,7.5200000000000005,69.92999999999999,263.25,217.92,826.1,1037.2,687.42,416.57,1.4,0.0,33.51521505376344,36.87339285714285,39.821774193548386,39.35111111111111,37.45177419354839,35.63388888888889,32.067150537634404,29.786397849462368,30.932444444444446,32.954247311827956,35.23122222222222,33.314838709677424,15.98543010752688,20.437678571428574,22.482258064516127,24.663722222222223,25.382526881720427,24.319222222222223,22.68913978494624,21.74236559139785,21.99738888888889,21.588655913978496,19.19622222222222,15.427043010752687
1999,North-East,Rice,1639.8764774429164,0.3104301075268817,0.3001190476190476,0.29370967741935483,0.2957222222222222,0.3078494623655914,0.3191111111111111,0.35758064516129034,0.4305913978494624,0.43977777777777777,0.40634408602150535,0.33511111111111114,0.30833333333333335,0.0,0.42000000000000004,7.5200000000000005,69.92999999999999,263.25,217.92,826.1,1037.2,687.42,416.57,1.4,0.0,33.51521505376344,36.87339285714285,39.821774193548386,39.35111111111111,37.45177419354839,35.63388888888889,32.067150537634404,29.786397849462368,30.932444444444446,32.954247311827956,35.23122222222222,33.314838709677424,15.98543010752688,20.437678571428574,22.482258064516127,24.663722222222223,25.382526881720427,24.319222222222223,22.68913978494624,21.74236559139785,21.99738888888889,21.588655913978496,19.19622222222222,15.427043010752687
1999,North-East,Yam,10221.20763638733,0.3104301075268817,0.3001190476190476,0.29370967741935483,0.2957222222222222,0.3078494623655914,0.3191111111111111,0.35758064516129034,0.4305913978494624,0.43977777777777777,0.40634408602150535,0.33511111111111114,0.30833333333333335,0.0,0.42000000000000004,7.5200000000000005,69.92999999999999,263.25,217.92,826.1,1037.2,687.42,416.57,1.4,0.0,33.51521505376344,36.87339285714285,39.821774193548386,39.35111111111111,37.45177419354839,35.63388888888889,32.067150537634404,29.786397849462368,30.932444444444446,32.954247311827956,35.23122222222222,33.314838709677424,15.98543010752688,20.437678571428574,22.482258064516127,24.663722222222223,25.382526881720427,24.319222222222223,22.68913978494624,21.74236559139785,21.99738888888889,21.588655913978496,19.19622222222222,15.427043010752687
1999,North-West,Cassava,5855.849651493266,0.3093548387096774,0.2830612244897959,0.26285714285714284,0.25642857142857145,0.263963133640553,0.2786666666666667,0.3126267281105991,0.37036866359447007,0.40885714285714286,0.3784331797235023,0.307,0.2772350230414746,0.24000000000000002,2.4899999999999998,8.67,103.37,373.82,334.06,828.9,1141.24,939.11,356.21,2.89,0.0,31.784470046082948,34.91892857142857,38.89612903225806,38.956714285714284,38.244147465437784,36.83404761904762,32.86986175115207,30.532073732718896,32.14361904761905,33.86622119815668,34.348190476190474,31.836497695852533,14.222304147465437,18.07183673469388,20.65258064516129,22.997,24.257695852534564,24.08604761904762,22.897465437788018,21.742488479262672,21.861857142857144,20.160092165898618,17.47442857142857,14.061198156682028
1999,North-West,Maize,1168.7545568138287,0.3093548387096774,0.2830612244897959,0.26285714285714284,0.25642857142857145,0.263963133640553,0.2786666666666667,0.3126267281105991,0.37036866359447007,0.40885714285714286,0.3784331797235023,0.307,0.2772350230414746,0.24000000000000002,2.4899999999999998,8.67,103.37,373.82,334.06,828.9,1141.24,939.11,356.21,2.89,0.0,31.784470046082948,34.91892857142857,38.89612903225806,38.956714285714284,38.244147465437784,36.83404761904762,32.86986175115207,30.532073732718896,32.14361904761905,33.86622119815668,34.348190476190474,31.836497695852533,14.222304147465437,18.07183673469388,20.65258064516129,22.997,24.257695852534564,24.08604761904762,22.897465437788018,21.742488479262672,21.861857142857144,20.160092165898618,17.47442857142857,14.061198156682028
