Region,Crop,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,CO2_ppm,Avg_pH,Avg_Nitrogen_ppm,Avg_Phosphorus_ppm,Avg_Organic_Matter_Percent,Yield_kg_per_ha,GDD,Cumulative_Rainfall,Days_Into_Season,pH_Temperature_Interaction,Nitrogen_Rainfall_Interaction,Is_Rainy_Season,Is_Peak_Growing,Heat_Stress,Cold_Stress,Rainfall_Anomaly,Drought_Risk,Flood_Risk,Yield_Lag_1,Yield_Lag_2,Yield_Lag_3,Yield_MA_3yr,Temp_MA_3yr,Rain_MA_3yr,Yield_YoY_Change,Temp_YoY_Change,Rain_YoY_Change,Yield_Volatility_3yr
North Central,Cassava,2000,1,27.083214285714284,761.3875,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,761.3875,0,168.81870238095237,69057.84625,0,0,0,0,1.2907288719555132,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,2,28.1812904970676,575.5960552507171,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,1336.983555250717,0,175.6633774317214,52206.56221124004,0,0,0,0,1.2907288719293069,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,3,28.583214285714284,507.5916666666667,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,1844.5752219173837,0,178.16870238095237,46038.56416666667,0,0,0,0,1.290728871914919,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,4,28.1812904970676,575.5960552507172,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,18.1812904970676,2420.171277168101,0,175.6633774317214,52206.56221124005,1,0,0,0,1.2907288719293069,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,5,27.083214285714284,761.3875,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,17.083214285714284,3181.558777168101,30,168.81870238095237,69057.84625,1,1,0,0,1.2907288719555132,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,6,25.583214285714284,1015.1833333333334,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,15.583214285714284,4196.742110501435,60,159.46870238095238,92077.12833333334,1,1,0,0,1.290728871975811,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,7,24.083214285714284,1268.9791666666667,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,14.083214285714284,5465.721277168101,90,150.11870238095239,115096.41041666668,1,1,0,0,1.2907288719879892,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,8,22.985138074360968,1454.7706114159494,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,12.985138074360968,6920.491888584051,120,143.27402733018337,131947.69445542662,1,0,0,0,1.29072887199421,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,9,22.583214285714284,1522.775,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,2.1208358854658127,12.583214285714284,8443.26688858405,150,140.76870238095236,138115.6925,1,0,0,0,1.2907288719961079,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,10,22.985138074360968,1454.7706114159496,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,9898.0375,180,143.27402733018337,131947.69445542662,0,0,0,0,1.2907288719942107,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,11,24.083214285714284,1268.9791666666667,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,11167.016666666666,210,150.11870238095239,115096.41041666668,0,0,0,0,1.2907288719879892,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
North Central,Cassava,2000,12,25.583214285714284,1015.1833333333334,65.86309523809524,369.70666666666665,6.233333333333333,90.7,1.6333333333333335,0.14666666666666664,0.0,0.0,12182.2,240,159.46870238095238,92077.12833333334,0,0,0,0,1.290728871975811,0,1,0.0,0.0,0.0,12.725015312794877,25.58321428571428,12182.2,0.0,0.0,0.0,0.0
