Region,Crop,Year,Yield_kg_per_ha,seq_months,temp_m1,rain_m1,hum_m1,temp_m2,rain_m2,hum_m2,temp_m3,rain_m3,hum_m3,temp_m4,rain_m4,hum_m4,temp_m5,rain_m5,hum_m5,temp_m6,rain_m6,hum_m6,temp_m7,rain_m7,hum_m7,temp_m8,rain_m8,hum_m8,temp_m9,rain_m9,hum_m9,temp_m10,rain_m10,hum_m10,temp_m11,rain_m11,hum_m11,temp_m12,rain_m12,hum_m12
North Central,Cassava,2000,12725.015312794874,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.583214285714284,2.3000000000000003,35.51428571428571,25.583214285714284,0.0,25.24285714285714,25.583214285714284,114.60000000000001,36.55714285714286,25.583214285714284,579.5,65.0,25.583214285714284,1403.8,70.88571428571429,25.583214285714284,2909.6,86.21428571428571,25.583214285714284,3055.2,88.25714285714285,25.583214285714284,947.2,87.17142857142858,25.583214285714284,1209.4,86.77142857142857,25.583214285714284,1780.8,82.45714285714287,25.583214285714284,177.5,66.9,25.583214285714284,2.3000000000000003,59.385714285714286
North Central,Cassava,2001,12976.35605006954,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.05202380952381,0.9,44.971428571428575,25.05202380952381,5.9,45.44285714285714,25.05202380952381,74.9,60.4,25.05202380952381,899.6,76.12857142857142,25.05202380952381,1083.6,81.48571428571428,25.05202380952381,1113.6,84.45714285714287,25.05202380952381,904.6,84.74285714285715,25.05202380952381,1205.0,85.94285714285715,25.05202380952381,1404.8,84.85714285714286,25.05202380952381,429.1,76.39999999999999,25.05202380952381,176.4,60.542857142857144,25.05202380952381,16.900000000000002,47.642857142857146
North Central,Cassava,2002,13465.05086982187,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.568809523809527,10.299999999999999,34.4,25.568809523809527,2.6,38.871428571428574,25.568809523809527,351.8,59.5,25.568809523809527,1342.4,75.77142857142857,25.568809523809527,799.6,80.68571428571428,25.568809523809527,710.8,82.74285714285715,25.568809523809527,1783.5,84.84285714285714,25.568809523809527,1388.5,86.15714285714286,25.568809523809527,1145.3,85.27142857142857,25.568809523809527,1010.6999999999999,80.74285714285715,25.568809523809527,25.0,63.971428571428575,25.568809523809527,0.1,49.642857142857146
North Central,Cassava,2003,13545.090076913812,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.740714285714283,57.1,44.471428571428575,25.740714285714283,254.4,52.214285714285715,25.740714285714283,47.3,52.699999999999996,25.740714285714283,951.4,76.15714285714286,25.740714285714283,643.3,76.64285714285714,25.740714285714283,800.3,81.32857142857142,25.740714285714283,990.6,84.31428571428572,25.740714285714283,1030.7,84.91428571428571,25.740714285714283,1714.1,85.3,25.740714285714283,1152.5,83.02857142857144,25.740714285714283,66.4,68.12857142857142,25.740714285714283,6.5,48.5
North Central,Cassava,2004,13656.837191870667,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",26.082857142857144,88.9,46.57142857142857,26.082857142857144,11.5,38.91428571428571,26.082857142857144,26.2,43.82857142857143,26.082857142857144,877.7,71.6,26.082857142857144,1240.4,83.95714285714287,26.082857142857144,842.3,84.2,26.082857142857144,1001.2,84.51428571428572,26.082857142857144,641.7,84.47142857142856,26.082857142857144,1042.9,82.72857142857143,26.082857142857144,449.2,79.12857142857142,26.082857142857144,137.8,63.34285714285714,26.082857142857144,0.2,45.1
North Central,Cassava,2005,13064.745642120242,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",26.669523809523806,2.7,35.68571428571429,26.669523809523806,43.9,51.32857142857143,26.669523809523806,225.7,59.68571428571429,26.669523809523806,353.3,65.9857142857143,26.669523809523806,390.4,72.97142857142858,26.669523809523806,818.8000000000001,78.54285714285713,26.669523809523806,627.0,80.92857142857143,26.669523809523806,836.7,78.14285714285714,26.669523809523806,1772.5,83.41428571428571,26.669523809523806,622.7,80.39999999999999,26.669523809523806,46.3,57.07142857142857,26.669523809523806,0.9,47.371428571428574
North Central,Cassava,2006,13469.156499332526,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",26.36952380952381,49.4,48.18571428571429,26.36952380952381,68.0,51.91428571428571,26.36952380952381,65.9,52.542857142857144,26.36952380952381,341.2,58.65714285714286,26.36952380952381,692.0,76.52857142857144,26.36952380952381,455.8,76.57142857142857,26.36952380952381,1002.1,79.45714285714287,26.36952380952381,2574.5,86.67142857142858,26.36952380952381,1403.0,86.57142857142857,26.36952380952381,462.1,82.02857142857144,26.36952380952381,28.2,58.31428571428571,26.36952380952381,0.1,43.58571428571429
North Central,Cassava,2007,13010.648596321395,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.483452380952382,0.0,37.214285714285715,25.483452380952382,48.2,42.67142857142857,25.483452380952382,144.9,47.628571428571426,25.483452380952382,499.40000000000003,68.65714285714286,25.483452380952382,842.2,78.84285714285714,25.483452380952382,1563.2,84.45714285714287,25.483452380952382,1402.9,87.02857142857144,25.483452380952382,2983.3,88.71428571428571,25.483452380952382,2100.2,86.85714285714286,25.483452380952382,936.8,84.88571428571429,25.483452380952382,129.70000000000002,73.04285714285714,25.483452380952382,39.9,58.699999999999996
North Central,Cassava,2008,13482.242283366668,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.09988095238095,6.6,53.614285714285714,25.09988095238095,23.1,45.1,25.09988095238095,154.8,66.97142857142858,25.09988095238095,367.9,69.68571428571428,25.09988095238095,539.7,75.2,25.09988095238095,1123.3,81.71428571428571,25.09988095238095,1677.5,86.04285714285713,25.09988095238095,2266.0,87.94285714285715,25.09988095238095,1613.6,86.60000000000001,25.09988095238095,762.2,80.62857142857142,25.09988095238095,19.900000000000002,64.54285714285714,25.09988095238095,42.4,59.785714285714285
North Central,Cassava,2009,13804.234705255594,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",25.672857142857143,55.1,57.08571428571429,25.672857142857143,19.9,56.614285714285714,25.672857142857143,92.6,56.5,25.672857142857143,990.3,76.38571428571429,25.672857142857143,1034.3,81.14285714285714,25.672857142857143,1059.3,83.48571428571428,25.672857142857143,1163.7,84.68571428571428,25.672857142857143,1663.1,86.95714285714287,25.672857142857143,1033.8,85.54285714285713,25.672857142857143,963.5,83.77142857142857,25.672857142857143,168.5,68.74285714285715,25.672857142857143,2.5,50.01428571428572
