Region,Baseline_Yield_kg_per_ha,Baseline_Stability_CV,Extreme_Scenario_Change_%,Drought_Scenario_Change_%,Warming_Scenario_Change_%,Food_Security_Risk_Score
South-West,6647.365562121218,0.7879076826766417,-17.243803094856265,-15.410120255791771,-17.357327567795615,0.8202134979363953
South-East,7157.0736830928045,0.8654003046496209,-18.267881697150763,-17.007314451970284,-18.407951546751892,0.8014258784648702
North-Central,7359.873758984188,0.9348782376465689,-16.365348282742538,-15.925496192151545,-16.691401026285956,0.7884183463526446
South-South,5237.450267789741,0.7585616596841428,-13.97581092459504,-13.693570028611541,-12.38572832909204,0.612613768935575
North-East,4843.7263070804975,0.7447788462667638,1.2868361644347686,-0.6661471787914798,1.441544582472259,0.29404481844723285
North-West,4633.967930029292,0.7001499882817452,-2.7702968654280355,-3.9032668306176332,-1.5128322326908887,0.28586118246653947
